id,country,cntry,year,mposframe,mcosmopolitan,growth,unemp,N,n_cntry,n_cy
AT-2004,Austria,AT,2004,0.43659751828765914,0.3644239563253648,2.735120222,5.829999924,416585,16117,2059
AT-2005,Austria,AT,2005,0.4488310314547938,0.368028643523693,2.2440653250000002,5.6300001139999996,416585,16117,2020
AT-2006,Austria,AT,2006,0.44650845439930986,0.3593750044340015,3.454041836,5.239999771,416585,16117,1017
AT-2007,Austria,AT,2007,0.4770620219433276,0.3892305847795462,3.727415301,4.860000134,416585,16117,1011
AT-2008,Austria,AT,2008,0.46029200039434687,0.3810918335007202,1.460423676,4.1300001139999996,416585,16117,2003
AT-2009,Austria,AT,2009,0.47408609724163064,0.39266288989618997,-3.764578178,5.300000191,416585,16117,1003
AT-2010,Austria,AT,2010,0.42082629592629595,0.3503558164058164,1.837093677,4.820000172,416585,16117,2000
AT-2011,Austria,AT,2011,0.43397301889129525,0.3588901783924072,2.922797284,4.559999943,416585,16117,2019
AT-2012,Austria,AT,2012,0.437071791641278,0.3551575326877442,0.680445577,4.8699998860000004,416585,16117,1986
AT-2013,Austria,AT,2013,0.4664249886472109,0.3861347944681278,0.025504712,5.340000153,416585,16117,999
BE-2004,Belgium,BE,2004,0.5793271361624835,0.48527540072102004,3.571204343,7.360000134,416585,16232,1986
BE-2005,Belgium,BE,2005,0.6108088634027369,0.5130976991278374,2.321737054,8.43999958,416585,16232,2024
BE-2006,Belgium,BE,2006,0.6195664330223154,0.5195871720871721,2.552349944,8.25,416585,16232,1020
BE-2007,Belgium,BE,2007,0.647418064406195,0.5236483677878336,3.676881136,7.4600000380000004,416585,16232,1011
BE-2008,Belgium,BE,2008,0.6804225062828554,0.5370533636493736,0.446928735,6.980000019,416585,16232,2005
BE-2009,Belgium,BE,2009,0.6507193045366698,0.5082441898310162,-2.020743062,7.909999847,416585,16232,1002
BE-2010,Belgium,BE,2010,0.5696399844093296,0.4724559872997373,2.864292708,8.289999962,416585,16232,2016
BE-2011,Belgium,BE,2011,0.5741133283491682,0.4739498348873349,1.694513899,7.139999866,416585,16232,2048
BE-2012,Belgium,BE,2012,0.516534063152478,0.42906727691967367,0.739217283,7.5399999619999996,416585,16232,2107
BE-2013,Belgium,BE,2013,0.5259098228742849,0.43108505512256745,0.459242193,8.430000305,416585,16232,1013
BG-2004,Bulgaria,BG,2004,0.7438223297287042,0.4949740719661038,6.510426379,12.03999996,416585,15157,1004
BG-2005,Bulgaria,BG,2005,0.7486768253484449,0.5047576178705451,7.056347526,10.07999992,416585,15157,2019
BG-2006,Bulgaria,BG,2006,0.7496072619225329,0.49810710909233075,6.802589382,8.949999809,416585,15157,1015
BG-2007,Bulgaria,BG,2007,0.8005465420046748,0.6144953939227279,6.591380837,6.8800001139999996,416585,15157,1039
BG-2008,Bulgaria,BG,2008,0.7929301381569577,0.5972160898257608,6.116017964,5.610000134,416585,15157,2006
BG-2009,Bulgaria,BG,2009,0.7842113982770046,0.5872006058884787,-3.271854279,6.820000172,416585,15157,1006
BG-2010,Bulgaria,BG,2010,0.7691359126984127,0.599313492063492,1.541801443,10.27999973,416585,15157,2000
BG-2011,Bulgaria,BG,2011,0.7860104684243476,0.6205190230527226,2.10120575,11.26000023,416585,15157,2003
BG-2012,Bulgaria,BG,2012,0.7786511294861,0.6209462279698036,0.754930386,12.27000046,416585,15157,2036
BG-2013,Bulgaria,BG,2013,0.7573279651996853,0.6235966495441714,-0.560493966,12.93999958,416585,15157,1029
CY-2004,Cyprus,CY,2004,0.7149059995559995,0.5888759407259407,5.026343926,4.329999924,416585,7555,500
CY-2005,Cyprus,CY,2005,0.687632501560009,0.575582271088726,4.853003838,5.300000191,416585,7555,1007
CY-2006,Cyprus,CY,2006,0.7068892645815723,0.5945798503490811,4.713828666,4.5399999619999996,416585,7555,507
CY-2007,Cyprus,CY,2007,0.6441072650235997,0.5253133210304525,5.098068453,3.920000076,416585,7555,502
CY-2008,Cyprus,CY,2008,0.681771902377662,0.5678132057724907,3.646811991,3.6500000950000002,416585,7555,1007
CY-2009,Cyprus,CY,2009,0.6566088428911491,0.5278377741101399,-2.015262359,5.360000134,416585,7555,503
CY-2010,Cyprus,CY,2010,0.5622453681059022,0.46942658945626303,2.014695707,6.260000229,416585,7555,1011
CY-2011,Cyprus,CY,2011,0.5671371193759254,0.46037814313933717,0.401437941,7.860000134,416585,7555,1005
CY-2012,Cyprus,CY,2012,0.4517946256785543,0.37395575654504226,-3.446822086,11.80000019,416585,7555,1008
CY-2013,Cyprus,CY,2013,0.4218913429804519,0.36906115886313906,-6.553078255,15.86999989,416585,7555,505
CZ-2004,Czechia,CZ,2004,0.5972946459225529,0.4929464256673559,4.814261001,8.210000038,416585,15571,1075
CZ-2005,Czechia,CZ,2005,0.6093771944039323,0.5005888879886206,6.60161753,7.929999828,416585,15571,2244
CZ-2006,Czechia,CZ,2006,0.6297453872594322,0.5201502045603169,6.766932681,7.150000095,416585,15571,1068
CZ-2007,Czechia,CZ,2007,0.6294489945976044,0.5320651224773948,5.570338859,5.320000172,416585,15571,1043
CZ-2008,Czechia,CZ,2008,0.6085452034349094,0.5157056559997737,2.686411951,4.389999866,416585,15571,2040
CZ-2009,Czechia,CZ,2009,0.5963176037737441,0.5059909875699349,-4.657331092,6.659999847,416585,15571,1026
CZ-2010,Czechia,CZ,2010,0.5351999413246357,0.469711179882329,2.434902159,7.28000021,416585,15571,2045
CZ-2011,Czechia,CZ,2011,0.4891603277596361,0.430251012711487,1.760359624,6.7100000380000004,416585,15571,2024
CZ-2012,Czechia,CZ,2012,0.48084313026956416,0.432890195147053,-0.785004299,6.980000019,416585,15571,2005
CZ-2013,Czechia,CZ,2013,0.50216530611136,0.45192080923849154,-0.045903674,6.949999809,416585,15571,1001
DE-2004,Germany,DE,2004,0.5002696167817916,0.45508613396687553,1.175088132,10.72999954,416585,25108,3614
DE-2005,Germany,DE,2005,0.5457194628118007,0.49055714986461546,0.731707164,11.17000008,416585,25108,3054
DE-2006,Germany,DE,2006,0.5490655750976852,0.5051529510245106,3.816441913,10.25,416585,25108,1526
DE-2007,Germany,DE,2007,0.5569723567905986,0.5092718931945633,2.976455131,8.659999847,416585,25108,1513
DE-2008,Germany,DE,2008,0.5350160523935034,0.4851556431948589,0.959879134,7.519999981,416585,25108,3060
DE-2009,Germany,DE,2009,0.5587552483194685,0.5012305009683777,-5.693836336,7.739999771,416585,25108,1526
DE-2010,Germany,DE,2010,0.49640262906107974,0.4531916893392566,4.179882499,6.96999979,416585,25108,3124
DE-2011,Germany,DE,2011,0.4959689865400897,0.44573488394672905,3.925192705,5.820000172,416585,25108,3073
DE-2012,Germany,DE,2012,0.5037071329091564,0.4568047152658771,0.418497594,5.3800001139999996,416585,25108,3064
DE-2013,Germany,DE,2013,0.4845898845898846,0.4398975059689345,0.437591303,5.230000019,416585,25108,1554
DK-2004,Denmark,DK,2004,0.5739394152855691,0.46906697291312677,2.668219267,5.199999809,416585,16269,2028
DK-2005,Denmark,DK,2005,0.6070881817281241,0.4947166957968686,2.336641308,4.829999924,416585,16269,2083
DK-2006,Denmark,DK,2006,0.6250566177649511,0.5040915819189629,3.913007978,3.9000000950000002,416585,16269,1008
DK-2007,Denmark,DK,2007,0.6594439963451939,0.5464329471814502,0.909238928,3.799999952,416585,16269,1002
DK-2008,Denmark,DK,2008,0.6246333039843365,0.5289841754443524,-0.512016745,3.680000067,416585,16269,2034
DK-2009,Denmark,DK,2009,0.6277527569072758,0.5295696124413326,-4.90654773,6.409999847,416585,16269,1029
DK-2010,Denmark,DK,2010,0.5718631414521492,0.497700541730211,1.870991147,7.75,416585,16269,2056
DK-2011,Denmark,DK,2011,0.5950210834139406,0.516749395060407,1.336777767,7.769999981,416585,16269,2016
DK-2012,Denmark,DK,2012,0.5835647986917907,0.5232902210118345,0.226499792,7.800000191,416585,16269,2008
DK-2013,Denmark,DK,2013,0.5817089571567183,0.5162493283388806,0.933340972,7.3800001139999996,416585,16269,1005
EE-2004,Estonia,EE,2004,0.553753108003108,0.4358792041292041,6.804007771,10.25,416585,15022,1000
EE-2005,Estonia,EE,2005,0.5228699378249603,0.42194207868870537,9.526426972,8.029999733,416585,15022,2001
EE-2006,Estonia,EE,2006,0.5293028716681412,0.4307564358462562,9.76558337,5.909999847,416585,15022,1002
EE-2007,Estonia,EE,2007,0.7058407457661189,0.614430588758947,7.57914052,4.590000153,416585,15022,1005
EE-2008,Estonia,EE,2008,0.6793223587091982,0.6018036010184564,-5.132000958,5.449999809,416585,15022,2006
EE-2009,Estonia,EE,2009,0.6873606893106893,0.6101532856032856,-14.62905503,13.55000019,416585,15022,1000
EE-2010,Estonia,EE,2010,0.6522491341991342,0.5838988997113997,2.444265118,16.70999908,416585,15022,2000
EE-2011,Estonia,EE,2011,0.5926822068484575,0.5362006593284676,7.263084581,12.32999992,416585,15022,2003
EE-2012,Estonia,EE,2012,0.6110025285636869,0.5573174426394596,3.228200494,10.02000046,416585,15022,2003
EE-2013,Estonia,EE,2013,0.5898314177505795,0.5448330445336433,1.458428636,8.630000114,416585,15022,1002
ES-2004,Spain,ES,2004,0.7122276087179695,0.5577226009010487,3.122795242,11.09000015,416585,16144,2023
ES-2005,Spain,ES,2005,0.6272091961768274,0.5146694567489074,3.652032674,9.149999619,416585,16144,2039
ES-2006,Spain,ES,2006,0.6269964143098471,0.4958676343004701,4.102727115,8.449999809,416585,16144,1005
ES-2007,Spain,ES,2007,0.6336003968253968,0.5064650793650793,3.604687971,8.229999542,416585,16144,1000
ES-2008,Spain,ES,2008,0.5983937647857963,0.5016815793377525,0.887145182,11.25,416585,16144,2033
ES-2009,Spain,ES,2009,0.5708642857142857,0.4706690476190476,-3.763231927,17.86000061,416585,16144,1000
ES-2010,Spain,ES,2010,0.5631142372547455,0.4618772248069707,0.163010231,19.86000061,416585,16144,2007
ES-2011,Spain,ES,2011,0.5415084184821027,0.45393938098754383,-0.814373455,21.38999939,416585,16144,2014
ES-2012,Spain,ES,2012,0.503127070907886,0.4192296617122661,-2.959441302,24.79000092,416585,16144,2012
ES-2013,Spain,ES,2013,0.44690673377616996,0.39100181607600004,-1.435394259,26.09000015,416585,16144,1011
FI-2004,Finland,FI,2004,0.5358903645567031,0.4806391566111054,3.99209129,10.35999966,416585,16115,2032
FI-2005,Finland,FI,2005,0.5218244150261694,0.46795145373361746,2.779850556,8.380000114,416585,16115,2052
FI-2006,Finland,FI,2006,0.5102525898003035,0.45414984838444084,4.027409658,7.71999979,416585,16115,1006
FI-2007,Finland,FI,2007,0.5483691164327003,0.4915041899868489,5.299336507,6.849999905,416585,16115,1038
FI-2008,Finland,FI,2008,0.5470617529880478,0.4825240703851262,0.783995061,6.3699998860000004,416585,16115,2008
FI-2009,Finland,FI,2009,0.5687535571997724,0.4982878011762474,-8.074447432,8.25,416585,16115,1004
FI-2010,Finland,FI,2010,0.5273169336479406,0.4680778468789436,3.185958654,8.390000343,416585,16115,2006
FI-2011,Finland,FI,2011,0.5498727235634966,0.4839241639491016,2.547664838,7.78000021,416585,16115,2005
FI-2012,Finland,FI,2012,0.5120812233362034,0.44859554456168,-1.397545728,7.690000057,416585,16115,2008
FI-2013,Finland,FI,2013,0.5288710592057873,0.46316640994988273,-0.901696316,8.18999958,416585,16115,956
FR-2004,France,FR,2004,0.6218273960794805,0.5485824757771791,2.829752929,8.909999847,416585,16330,2039
FR-2005,France,FR,2005,0.6078154184042358,0.5526791216919866,1.66321998,8.489999771,416585,16330,2021
FR-2006,France,FR,2006,0.6155567934244405,0.5655349008290185,2.449323601,8.449999809,416585,16330,1020
FR-2007,France,FR,2007,0.6254397023399985,0.5679512655820652,2.424736243,7.659999847,416585,16330,1013
FR-2008,France,FR,2008,0.634462465449403,0.5818958738407214,0.25494596,7.059999943,416585,16330,2067
FR-2009,France,FR,2009,0.6308250172417651,0.5756687243298733,-2.873313828,8.739999771,416585,16330,1027
