country,cntry,year,mcosmo,mutil,mcomm,mlib,mpos,mneg,n_cy,growth,unemp,bailout
Austria,AT,2004,0.3644239563253648,0.07217356196229435,0.3095752043542233,0.20477433903854497,0.43659751828765914,0.5143495433927683,2059,2.735120222,5.829999924,0
Austria,AT,2005,0.368028643523693,0.0808023879311008,0.3357254736462657,0.19465141569101965,0.4488310314547938,0.5303768893372853,2020,2.2440653250000002,5.6300001140000004,0
Austria,AT,2006,0.3593750044340015,0.08713344996530838,0.33513307679974347,0.19770950124932427,0.44650845439930986,0.5328425780490678,1017,3.454041836,5.239999771,0
Austria,AT,2007,0.3892305847795462,0.08783143716378138,0.30636130272628787,0.18987044387637858,0.4770620219433276,0.4962317466026665,1011,3.727415301,4.860000134,0
Austria,AT,2008,0.3810918335007202,0.0792001668936267,0.2973820668154168,0.2128701165146497,0.46029200039434687,0.5102521833300665,2003,1.460423676,4.1300001140000004,0
Austria,AT,2009,0.3891717721329372,0.08065608609297929,0.3250238030577836,0.1896143581337756,0.4698278582259165,0.5146381611915593,1030,-3.764578178,5.300000191,0
Austria,AT,2010,0.3503558164058164,0.07047047952047952,0.34221054778554777,0.22346315628815627,0.42082629592629595,0.5656737040737041,2000,1.837093677,4.820000172,0
Austria,AT,2011,0.3588901783924072,0.07508284049888804,0.32378589573983335,0.2184669397522295,0.43397301889129525,0.5422528354920628,2019,2.922797284,4.559999943,0
Austria,AT,2012,0.3551575326877442,0.08191425895353388,0.3237213972108232,0.22812926834830158,0.437071791641278,0.5518506655591248,1986,0.680445577,4.8699998859999996,0
Austria,AT,2013,0.3861347944681278,0.08029019417908306,0.30749454638343526,0.20906344795233683,0.4664249886472109,0.5165579943357721,999,0.025504712,5.340000153,0
Belgium,BE,2004,0.48527540072102004,0.09405173544146354,0.2443142806058214,0.1184532458701643,0.5793271361624835,0.3627675264759857,1986,3.571204343,7.360000134,0
Belgium,BE,2005,0.5130976991278374,0.09771116427489945,0.23910115877754218,0.1209397801912624,0.6108088634027369,0.36004093896880457,2024,2.321737054,8.43999958,0
Belgium,BE,2006,0.5195871720871721,0.09997926093514328,0.22734477940360293,0.11681427777016012,0.6195664330223154,0.34415905717376305,1020,2.552349944,8.25,0
Belgium,BE,2007,0.5236483677878336,0.1237696966183613,0.20565463495730557,0.1083516329807131,0.647418064406195,0.31400626793801867,1011,3.676881136,7.4600000380000004,0
Belgium,BE,2008,0.5370533636493736,0.14336914263348177,0.17749422370370002,0.11564935480147451,0.6804225062828554,0.29314357850517453,2005,0.446928735,6.980000019,0
Belgium,BE,2009,0.47785043540510735,0.09939488112947358,0.21840292742380218,0.15564400256249164,0.577245316534581,0.3740469299862938,1006,-2.020743062,7.909999847,0
Belgium,BE,2010,0.4724559872997373,0.09718399710959234,0.23133909052807863,0.15586616315782983,0.5696399844093296,0.38720525368590847,2016,2.864292708,8.289999962,0
Belgium,BE,2011,0.4739498348873349,0.1001634934618333,0.2193387070828477,0.1689503083179841,0.5741133283491682,0.3882890154008318,2048,1.694513899,7.139999866,0
Belgium,BE,2012,0.42906727691967367,0.08746678623280427,0.249925371259021,0.17373990113667379,0.516534063152478,0.4236652723956948,2107,0.739217283,7.5399999619999996,0
Belgium,BE,2013,0.43108505512256745,0.0948247677517174,0.23827255885498727,0.16967744058069822,0.5259098228742849,0.4079499994356855,1013,0.459242193,8.430000305,0
Bulgaria,BG,2004,0.4949740719661038,0.2488482577626004,0.11075460064503889,0.04880952380952381,0.7438223297287042,0.1595641244545627,1004,6.510426379,12.03999996,0
Bulgaria,BG,2005,0.5047576178705451,0.24391920747789989,0.1239442372057528,0.05159884829275617,0.7486768253484449,0.17554308549850897,2019,7.056347526,10.07999992,0
Bulgaria,BG,2006,0.49810710909233075,0.2515001528302021,0.12715629198387818,0.04737437712807171,0.7496072619225329,0.1745306691119499,1015,6.802589382,8.949999809,0
Bulgaria,BG,2007,0.6144953939227279,0.18605114808194692,0.09354156163588309,0.04335174236521686,0.8005465420046748,0.13689330400109995,1039,6.591380837,6.8800001140000004,0
Bulgaria,BG,2008,0.5972160898257608,0.19571404833119688,0.068794806058016425,0.0480457437212173,0.7929301381569577,0.11684054977923372,2006,6.116017964,5.610000134,0
Bulgaria,BG,2009,0.6080772292081816,0.19924893779060446,0.09280564288004764,0.04629676154973774,0.807326166998786,0.1391024044297854,1008,-3.271854279,6.820000172,0
Bulgaria,BG,2010,0.599313492063492,0.16982242063492065,0.1275906746031746,0.06577341269841269,0.7691359126984127,0.1933640873015873,2000,1.541801443,10.27999973,0
Bulgaria,BG,2011,0.6205190230527226,0.1654914453716251,0.10765201404242843,0.06489967429807669,0.7860104684243476,0.1725516883405051,2003,2.10120575,11.26000023,0
Bulgaria,BG,2012,0.6209462279698036,0.1577049015162964,0.09835605619004441,0.07780617385234281,0.7786511294861,0.1761622300423872,2036,0.754930386,12.27000046,0
Bulgaria,BG,2013,0.6235966495441714,0.1337313156555139,0.09598701158467922,0.07379872583954217,0.7573279651996853,0.1697857374242214,1029,-0.560493966,12.93999958,0
Cyprus,CY,2004,0.5888759407259407,0.12603005883005883,0.17799020424020423,0.06510379620379621,0.7149059995559995,0.24309400044400045,500,5.026343926,4.329999924,0
Cyprus,CY,2005,0.575582271088726,0.1120502304712831,0.2428726272072846,0.057578287320094665,0.687632501560009,0.30045091452737926,1007,4.853003838,5.300000191,0
Cyprus,CY,2006,0.5945798503490811,0.11230941423249115,0.21402899095206787,0.055413105413105415,0.7068892645815723,0.2694420963651733,507,4.713828666,4.5399999619999996,0
Cyprus,CY,2007,0.5253133210304525,0.11879394399314717,0.27518447134981,0.06078794490149072,0.6441072650235997,0.3359724162513007,502,5.098068453,3.920000076,0
Cyprus,CY,2008,0.5678132057724907,0.11395869660517129,0.23563641202668015,0.05875851777043435,0.681771902377662,0.2943949297971145,1007,3.646811991,3.6500000950000002,0
Cyprus,CY,2009,0.5099762446600391,0.11737576213860798,0.31186205647668097,0.05485708296973119,0.6273520067986471,0.36671913944641216,506,-2.015262359,5.360000134,0
Cyprus,CY,2010,0.46942658945626303,0.09281877864963918,0.35249787304683444,0.07635468169592799,0.5622453681059022,0.42885255474276246,1011,2.014695707,6.260000229,0
Cyprus,CY,2011,0.46037814313933717,0.10675897623658817,0.3564387381551561,0.06348881908583401,0.5671371193759254,0.41992755724099007,1005,0.401437941,7.860000134,0
Cyprus,CY,2012,0.37395575654504226,0.07783886913351198,0.4436831824480634,0.09063330298449346,0.4517946256785543,0.5343164854325568,1008,-3.446822086,11.80000019,0
Cyprus,CY,2013,0.36906115886313906,0.05283018411731283,0.4673930415019524,0.08497304126016997,0.4218913429804519,0.5523660827621224,505,-6.553078255,15.86999989,1
Czechia,CZ,2004,0.4929464256673559,0.104348220255197,0.2334073704073704,0.14697240227472785,0.5972946459225529,0.38037977268209827,1075,4.814261001,8.210000038,0
Czechia,CZ,2005,0.5005888879886206,0.10878830641531176,0.20099815637917243,0.15798472051814297,0.6093771944039323,0.3589828768973154,2244,6.60161753,7.929999828,0
Czechia,CZ,2006,0.5201502045603169,0.10959518269911528,0.18639062508444532,0.14453814495949327,0.6297453872594322,0.33092877004393856,1068,6.766932681,7.150000095,0
Czechia,CZ,2007,0.5320651224773948,0.0973838721202096,0.19219918783677173,0.1543824982942912,0.6294489945976044,0.34658168613106294,1043,5.570338859,5.320000172,0
Czechia,CZ,2008,0.5157056559997737,0.09283954743513567,0.19754850677644795,0.1458670741023682,0.6085452034349094,0.3434155808788162,2040,2.686411951,4.389999866,0
Czechia,CZ,2009,0.511646394956054,0.09203049160435524,0.20585290130744677,0.16016718182911366,0.6036768865604093,0.3660200831365604,1056,-4.657331092,6.659999847,0
Czechia,CZ,2010,0.469711179882329,0.06548876144230667,0.23659986576856992,0.19592635427598754,0.5351999413246357,0.43252622004455743,2045,2.434902159,7.28000021,0
Czechia,CZ,2011,0.430251012711487,0.05890931504814904,0.24978112988241447,0.2264735621207953,0.4891603277596361,0.4762546920032098,2024,1.760359624,6.7100000380000004,0
Czechia,CZ,2012,0.432890195147053,0.047952935122511184,0.21420199501246884,0.24809701935637096,0.48084313026956416,0.4622990143688398,2005,-0.785004299,6.980000019,0
Czechia,CZ,2013,0.45192080923849154,0.0502444968728685,0.20423834684573944,0.24364629709285054,0.50216530611136,0.44788464393859,1001,-0.045903674,6.949999809,0
Germany,DE,2004,0.45508613396687553,0.04518348281491613,0.2950370158034796,0.1723192666953043,0.5002696167817916,0.46735628249878386,3614,1.175088132,10.72999954,0
Germany,DE,2005,0.49055714986461546,0.055162312947185245,0.2702231480227551,0.1667030997089936,0.5457194628118007,0.4369262477317487,3054,0.731707164,11.17000008,0
